Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;3000;20;1;50;0;66.17
0;3000;20;1;250;0;70.2
0;3000;20;1;750;0;61.6
0;3000;20;1;1500;0;50.6
0;3000;20;1;2500;0;37.46
0;3000;20;1;3500;0;34.64
0;7500;3;0;50;0;24.79
0;7500;3;0;250;0;43.63
0;7500;3;0;750;0;38.84
0;7500;3;0;1500;0;36.0
0;7500;3;0;2500;0;30.54
0;7500;3;0;3500;0;28.12
0;7500;3;1;50;0;39.7
0;7500;3;1;250;0;38.73
0;7500;3;1;750;0;37.72
0;7500;3;1;1500;0;34.66
0;7500;3;1;2500;0;30.21
0;7500;3;1;3500;0;26.48
0;7500;6;0;50;0;39.95
0;7500;6;0;250;0;38.42
0;7500;6;0;750;0;38.57
0;7500;6;0;1500;0;35.12
0;7500;6;0;2500;0;30.36
0;7500;6;0;3500;0;28.17
0;7500;6;1;50;0;38.4
0;7500;6;1;250;0;39.25
0;7500;6;1;750;0;37.45
0;7500;6;1;1500;0;34.84
0;7500;6;1;2500;0;29.51
0;7500;6;1;3500;0;27.96
0;7500;10;0;50;0;39.54
0;7500;10;0;250;0;41.46
0;7500;10;0;750;0;38.36
0;7500;10;0;1500;0;33.29
0;7500;10;0;2500;0;29.84
0;7500;10;0;3500;0;26.26
0;7500;10;1;50;0;39.71
0;7500;10;1;250;0;39.27
0;7500;10;1;750;0;37.37
0;7500;10;1;1500;0;32.97
0;7500;10;1;2500;0;29.83
0;7500;10;1;3500;0;28.51
0;7500;14;0;50;0;39.92
0;7500;14;0;250;0;39.57
0;7500;14;0;750;0;36.14
0;7500;14;0;1500;0;33.26
0;7500;14;0;2500;0;30.11
0;7500;14;0;3500;0;28.2
0;7500;14;1;50;0;37.31
0;7500;14;1;250;0;38.98
0;7500;14;1;750;0;37.3
0;7500;14;1;1500;0;33.21
0;7500;14;1;2500;0;29.46
0;7500;14;1;3500;0;26.31
0;7500;20;0;50;0;39.64
0;7500;20;0;250;0;38.36
0;7500;20;0;750;0;38.77
0;7500;20;0;1500;0;35.59
0;7500;20;0;2500;0;29.84
0;7500;20;0;3500;0;28.17
0;7500;20;1;50;0;39.07
0;7500;20;1;250;0;38.22
